"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 12 18:31:00 CST 2021","Tue Jan 12 18:31:01 CST 2021","79","testcase","test_excel_case","TestExcel","","","test108修改摄像机参数","<font color='red'>请求URL: </font> http://192.168.40.234:5000/admin/action.ashx?prefix=admin&action=UpdateCamera<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>Success': True, 'ExceptionMsg': '修改成功！'<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'Success': True, 'ExceptionMsg': '修改成功！', 'ExtendContent': None, 'IsExistsDevice': False, 'ActionUser': '', 'LogType': 0, 'ActionDateTime': '/Date(1610447461070+0800)/', 'ActionModel': None, 'LogParams': None, 'FunctionPoint': None}}"
"passed","Tue Jan 12 18:30:55 CST 2021","Tue Jan 12 18:30:55 CST 2021","62","testcase","test_excel_case","TestExcel","","","test074获取设备信息","<font color='red'>请求URL: </font> http://192.168.40.234:5000/admin/action.ashx?prefix=admin&action=GetFormulaDevice<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>{'DeviceId': 300, 'DeviceName': '1设备300：'}<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'ActionInfo': {'Success': True, 'ExceptionMsg': '', 'ExtendContent': None, 'IsExistsDevice': False, 'ActionUser': '', 'LogType': 0, 'ActionDateTime': '/Date(1610447455945+0800)/', 'ActionModel': None, 'LogParams': None, 'FunctionPoint': None}, 'DeviceList': [{'DeviceId': 1, 'DeviceName': '1设备1：'}, {'DeviceId': 2, 'DeviceName': '1设备2：'}, {'DeviceId': 3, 'DeviceName': '1设备3：'}, {'DeviceId': 4, 'DeviceName': '1设备4：'}, {'DeviceId': 5, 'DeviceName': '1设备5：'}, {'DeviceId': 6, 'DeviceName': '1设备6：'}, {'DeviceId': 7, 'DeviceName': '1设备7：'}, {'DeviceId': 8, 'DeviceName': '1设备8：'}, {'DeviceId': 9, 'DeviceName': '1设备9：'}, {'DeviceId': 10, 'DeviceName': '1设备10：'}, {'DeviceId': 11, 'DeviceName': '1设备11：'}, {'DeviceId': 12, 'DeviceName': '1设备12：'}, {'DeviceId': 13, 'DeviceName': '1设备13：'}, {'DeviceId': 14, 'DeviceName': '1设备14：'}, {'DeviceId': 15, 'DeviceName': '1设备15：'}, {'DeviceId': 16, 'DeviceName': '1设备16：'}, {'DeviceId': 17, 'DeviceName': '1设备17：'}, {'DeviceId': 18, 'DeviceName': '1设备18：'}, {'DeviceId': 19, 'DeviceName': '1设备19：'}, {'DeviceId': 20, 'DeviceName': '1设备20：'}, {'DeviceId': 21, 'DeviceName': '1设备21：'}, {'DeviceId': 22, 'DeviceName': '1设备22：'}, {'DeviceId': 23, 'DeviceName': '1设备23：'}, {'DeviceId': 24, 'DeviceName': '1设备24：'}, {'DeviceId': 25, 'DeviceName': '1设备25：'}, {'DeviceId': 26, 'DeviceName': '1设备26：'}, {'DeviceId': 27, 'DeviceName': '1设备27：'}, {'DeviceId': 28, 'DeviceName': '1设备28：'}, {'DeviceId': 29, 'DeviceName': '1设备29：'}, {'DeviceId': 30, 'DeviceName': '1设备30：'}, {'DeviceId': 31, 'DeviceName': '1设备31：'}, {'DeviceId': 32, 'DeviceName': '1设备32：'}, {'DeviceId': 33, 'DeviceName': '1设备33：'}, {'DeviceId': 34, 'DeviceName': '1设备34：'}, {'DeviceId': 35, 'DeviceName': '1设备35：'}, {'DeviceId': 36, 'DeviceName': '1设备36：'}, {'DeviceId': 37, 'DeviceName': '1设备37：'}, {'DeviceId': 38, 'DeviceName': '1设备38：'}, {'DeviceId': 39, 'DeviceName': '1设备39：'}, {'DeviceId': 40, 'DeviceName': '1设备40：'}, {'DeviceId': 41, 'DeviceName': '1设备41：'}, {'DeviceId': 42, 'DeviceName': '1设备42：'}, {'DeviceId': 43, 'DeviceName': '1设备43：'}, {'DeviceId': 44, 'DeviceName': '1设备44：'}, {'DeviceId': 45, 'DeviceName': '1设备45：'}, {'DeviceId': 46, 'DeviceName': '1设备46：'}, {'DeviceId': 47, 'DeviceName': '1设备47：'}, {'DeviceId': 48, 'DeviceName': '1设备48：'}, {'DeviceId': 49, 'DeviceName': '1设备49：'}, {'DeviceId': 50, 'DeviceName': '1设备50：'}, {'DeviceId': 51, 'DeviceName': '1设备51：'}, {'DeviceId': 52, 'DeviceName': '1设备52：'}, {'DeviceId': 53, 'DeviceName': '1设备53：'}, {'DeviceId': 54, 'DeviceName': '1设备54：'}, {'DeviceId': 55, 'DeviceName': '1设备55：'}, {'DeviceId': 56, 'DeviceName': '1设备56：'}, {'DeviceId': 57, 'DeviceName': '1设备57：'}, {'DeviceId': 58, 'DeviceName': '1设备58：'}, {'DeviceId': 59, 'DeviceName': '1设备59：'}, {'DeviceId': 60, 'DeviceName': '1设备60：'}, {'DeviceId': 61, 'DeviceName': '1设备61：'}, {'DeviceId': 62, 'DeviceName': '1设备62：'}, {'DeviceId': 63, 'DeviceName': '1设备63：'}, {'DeviceId': 64, 'DeviceName': '1设备64：'}, {'DeviceId': 65, 'DeviceName': '1设备65：'}, {'DeviceId': 66, 'DeviceName': '1设备66：'}, {'DeviceId': 67, 'DeviceName': '1设备67：'}, {'DeviceId': 68, 'DeviceName': '1设备68：'}, {'DeviceId': 69, 'DeviceName': '1设备69：'}, {'DeviceId': 70, 'DeviceName': '1设备70：'}, {'DeviceId': 71, 'DeviceName': '1设备71：'}, {'DeviceId': 72, 'DeviceName': '1设备72：'}, {'DeviceId': 73, 'DeviceName': '1设备73：'}, {'DeviceId': 74, 'DeviceName': '1设备74：'}, {'DeviceId': 75, 'DeviceName': '1设备75：'}, {'DeviceId': 76, 'DeviceName': '1设备76：'}, {'DeviceId': 77, 'DeviceName': '1设备77：'}, {'DeviceId': 78, 'DeviceName': '1设备78：'}, {'DeviceId': 79, 'DeviceName': '1设备79：'}, {'DeviceId': 80, 'DeviceName': '1设备80：'}, {'DeviceId': 81, 'DeviceName': '1设备81：'}, {'DeviceId': 82, 'DeviceName': '1设备82：'}, {'DeviceId': 83, 'DeviceName': '1设备83：'}, {'DeviceId': 84, 'DeviceName': '1设备84：'}, {'DeviceId': 85, 'DeviceName': '1设备85：'}, {'DeviceId': 86, 'DeviceName': '1设备86：'}, {'DeviceId': 87, 'DeviceName': '1设备87：'}, {'DeviceId': 88, 'DeviceName': '1设备88：'}, {'DeviceId': 89, 'DeviceName': '1设备89：'}, {'DeviceId': 90, 'DeviceName': '1设备90：'}, {'DeviceId': 91, 'DeviceName': '1设备91：'}, {'DeviceId': 92, 'DeviceName': '1设备92：'}, {'DeviceId': 93, 'DeviceName': '1设备93：'}, {'DeviceId': 94, 'DeviceName': '1设备94：'}, {'DeviceId': 95, 'DeviceName': '1设备95：'}, {'DeviceId': 96, 'DeviceName': '1设备96：'}, {'DeviceId': 97, 'DeviceName': '1设备97：'}, {'DeviceId': 98, 'DeviceName': '1设备98：'}, {'DeviceId': 99, 'DeviceName': '1设备99：'}, {'DeviceId': 100, 'DeviceName': '1设备100：'}, {'DeviceId': 101, 'DeviceName': '1设备101：'}, {'DeviceId': 102, 'DeviceName': '1设备102：'}, {'DeviceId': 103, 'DeviceName': '1设备103：'}, {'DeviceId': 104, 'DeviceName': '1设备104：'}, {'DeviceId': 105, 'DeviceName': '1设备105：'}, {'DeviceId': 106, 'DeviceName': '1设备106：'}, {'DeviceId': 107, 'DeviceName': '1设备107：'}, {'DeviceId': 108, 'DeviceName': '1设备108：'}, {'DeviceId': 109, 'DeviceName': '1设备109：'}, {'DeviceId': 110, 'DeviceName': '1设备110：'}, {'DeviceId': 111, 'DeviceName': '1设备111：'}, {'DeviceId': 112, 'DeviceName': '1设备112：'}, {'DeviceId': 113, 'DeviceName': '1设备113：'}, {'DeviceId': 114, 'DeviceName': '1设备114：'}, {'DeviceId': 115, 'DeviceName': '1设备115：'}, {'DeviceId': 116, 'DeviceName': '1设备116：'}, {'DeviceId': 117, 'DeviceName': '1设备117：'}, {'DeviceId': 118, 'DeviceName': '1设备118：'}, {'DeviceId': 119, 'DeviceName': '1设备119：'}, {'DeviceId': 120, 'DeviceName': '1设备120：'}, {'DeviceId': 121, 'DeviceName': '1设备121：'}, {'DeviceId': 122, 'DeviceName': '1设备122：'}, {'DeviceId': 123, 'DeviceName': '1设备123：'}, {'DeviceId': 124, 'DeviceName': '1设备124：'}, {'DeviceId': 125, 'DeviceName': '1设备125：'}, {'DeviceId': 126, 'DeviceName': '1设备126：'}, {'DeviceId': 127, 'DeviceName': '1设备127：'}, {'DeviceId': 128, 'DeviceName': '1设备128：'}, {'DeviceId': 129, 'DeviceName': '1设备129：'}, {'DeviceId': 130, 'DeviceName': '1设备130：'}, {'DeviceId': 131, 'DeviceName': '1设备131：'}, {'DeviceId': 132, 'DeviceName': '1设备132：'}, {'DeviceId': 133, 'DeviceName': '1设备133：'}, {'DeviceId': 134, 'DeviceName': '1设备134：'}, {'DeviceId': 135, 'DeviceName': '1设备135：'}, {'DeviceId': 136, 'DeviceName': '1设备136：'}, {'DeviceId': 137, 'DeviceName': '1设备137：'}, {'DeviceId': 138, 'DeviceName': '1设备138：'}, {'DeviceId': 139, 'DeviceName': '1设备139：'}, {'DeviceId': 140, 'DeviceName': '1设备140：'}, {'DeviceId': 141, 'DeviceName': '1设备141：'}, {'DeviceId': 142, 'DeviceName': '1设备142：'}, {'DeviceId': 143, 'DeviceName': '1设备143：'}, {'DeviceId': 144, 'DeviceName': '1设备144：'}, {'DeviceId': 145, 'DeviceName': '1设备145：'}, {'DeviceId': 146, 'DeviceName': '1设备146：'}, {'DeviceId': 147, 'DeviceName': '1设备147：'}, {'DeviceId': 148, 'DeviceName': '1设备148：'}, {'DeviceId': 149, 'DeviceName': '1设备149：'}, {'DeviceId': 150, 'DeviceName': '1设备150：'}, {'DeviceId': 151, 'DeviceName': '1设备151：'}, {'DeviceId': 152, 'DeviceName': '1设备152：'}, {'DeviceId': 153, 'DeviceName': '1设备153：'}, {'DeviceId': 154, 'DeviceName': '1设备154：'}, {'DeviceId': 155, 'DeviceName': '1设备155：'}, {'DeviceId': 156, 'DeviceName': '1设备156：'}, {'DeviceId': 157, 'DeviceName': '1设备157：'}, {'DeviceId': 158, 'DeviceName': '1设备158：'}, {'DeviceId': 159, 'DeviceName': '1设备159：'}, {'DeviceId': 160, 'DeviceName': '1设备160：'}, {'DeviceId': 161, 'DeviceName': '1设备161：'}, {'DeviceId': 162, 'DeviceName': '1设备162：'}, {'DeviceId': 163, 'DeviceName': '1设备163：'}, {'DeviceId': 164, 'DeviceName': '1设备164：'}, {'DeviceId': 165, 'DeviceName': '1设备165：'}, {'DeviceId': 166, 'DeviceName': '1设备166：'}, {'DeviceId': 167, 'DeviceName': '1设备167：'}, {'DeviceId': 168, 'DeviceName': '1设备168：'}, {'DeviceId': 169, 'DeviceName': '1设备169：'}, {'DeviceId': 170, 'DeviceName': '1设备170：'}, {'DeviceId': 171, 'DeviceName': '1设备171：'}, {'DeviceId': 172, 'DeviceName': '1设备172：'}, {'DeviceId': 173, 'DeviceName': '1设备173：'}, {'DeviceId': 174, 'DeviceName': '1设备174：'}, {'DeviceId': 175, 'DeviceName': '1设备175：'}, {'DeviceId': 176, 'DeviceName': '1设备176：'}, {'DeviceId': 177, 'DeviceName': '1设备177：'}, {'DeviceId': 178, 'DeviceName': '1设备178：'}, {'DeviceId': 179, 'DeviceName': '1设备179：'}, {'DeviceId': 180, 'DeviceName': '1设备180：'}, {'DeviceId': 181, 'DeviceName': '1设备181：'}, {'DeviceId': 182, 'DeviceName': '1设备182：'}, {'DeviceId': 183, 'DeviceName': '1设备183：'}, {'DeviceId': 184, 'DeviceName': '1设备184：'}, {'DeviceId': 185, 'DeviceName': '1设备185：'}, {'DeviceId': 186, 'DeviceName': '1设备186：'}, {'DeviceId': 187, 'DeviceName': '1设备187：'}, {'DeviceId': 188, 'DeviceName': '1设备188：'}, {'DeviceId': 189, 'DeviceName': '1设备189：'}, {'DeviceId': 190, 'DeviceName': '1设备190：'}, {'DeviceId': 191, 'DeviceName': '1设备191：'}, {'DeviceId': 192, 'DeviceName': '1设备192：'}, {'DeviceId': 193, 'DeviceName': '1设备193：'}, {'DeviceId': 194, 'DeviceName': '1设备194：'}, {'DeviceId': 195, 'DeviceName': '1设备195：'}, {'DeviceId': 196, 'DeviceName': '1设备196：'}, {'DeviceId': 197, 'DeviceName': '1设备197：'}, {'DeviceId': 198, 'DeviceName': '1设备198：'}, {'DeviceId': 199, 'DeviceName': '1设备199：'}, {'DeviceId': 200, 'DeviceName': '1设备200：'}, {'DeviceId': 201, 'DeviceName': '1设备201：'}, {'DeviceId': 202, 'DeviceName': '1设备202：'}, {'DeviceId': 203, 'DeviceName': '1设备203：'}, {'DeviceId': 204, 'DeviceName': '1设备204：'}, {'DeviceId': 205, 'DeviceName': '1设备205：'}, {'DeviceId': 206, 'DeviceName': '1设备206：'}, {'DeviceId': 207, 'DeviceName': '1设备207：'}, {'DeviceId': 208, 'DeviceName': '1设备208：'}, {'DeviceId': 209, 'DeviceName': '1设备209：'}, {'DeviceId': 210, 'DeviceName': '1设备210：'}, {'DeviceId': 211, 'DeviceName': '1设备211：'}, {'DeviceId': 212, 'DeviceName': '1设备212：'}, {'DeviceId': 213, 'DeviceName': '1设备213：'}, {'DeviceId': 214, 'DeviceName': '1设备214：'}, {'DeviceId': 215, 'DeviceName': '1设备215：'}, {'DeviceId': 216, 'DeviceName': '1设备216：'}, {'DeviceId': 217, 'DeviceName': '1设备217：'}, {'DeviceId': 218, 'DeviceName': '1设备218：'}, {'DeviceId': 219, 'DeviceName': '1设备219：'}, {'DeviceId': 220, 'DeviceName': '1设备220：'}, {'DeviceId': 221, 'DeviceName': '1设备221：'}, {'DeviceId': 222, 'DeviceName': '1设备222：'}, {'DeviceId': 223, 'DeviceName': '1设备223：'}, {'DeviceId': 224, 'DeviceName': '1设备224：'}, {'DeviceId': 225, 'DeviceName': '1设备225：'}, {'DeviceId': 226, 'DeviceName': '1设备226：'}, {'DeviceId': 227, 'DeviceName': '1设备227：'}, {'DeviceId': 228, 'DeviceName': '1设备228：'}, {'DeviceId': 229, 'DeviceName': '1设备229：'}, {'DeviceId': 230, 'DeviceName': '1设备230：'}, {'DeviceId': 231, 'DeviceName': '1设备231：'}, {'DeviceId': 232, 'DeviceName': '1设备232：'}, {'DeviceId': 233, 'DeviceName': '1设备233：'}, {'DeviceId': 234, 'DeviceName': '1设备234：'}, {'DeviceId': 235, 'DeviceName': '1设备235：'}, {'DeviceId': 236, 'DeviceName': '1设备236：'}, {'DeviceId': 237, 'DeviceName': '1设备237：'}, {'DeviceId': 238, 'DeviceName': '1设备238：'}, {'DeviceId': 239, 'DeviceName': '1设备239：'}, {'DeviceId': 240, 'DeviceName': '1设备240：'}, {'DeviceId': 241, 'DeviceName': '1设备241：'}, {'DeviceId': 242, 'DeviceName': '1设备242：'}, {'DeviceId': 243, 'DeviceName': '1设备243：'}, {'DeviceId': 244, 'DeviceName': '1设备244：'}, {'DeviceId': 245, 'DeviceName': '1设备245：'}, {'DeviceId': 246, 'DeviceName': '1设备246：'}, {'DeviceId': 247, 'DeviceName': '1设备247：'}, {'DeviceId': 248, 'DeviceName': '1设备248：'}, {'DeviceId': 249, 'DeviceName': '1设备249：'}, {'DeviceId': 250, 'DeviceName': '1设备250：'}, {'DeviceId': 251, 'DeviceName': '1设备251：'}, {'DeviceId': 252, 'DeviceName': '1设备252：'}, {'DeviceId': 253, 'DeviceName': '1设备253：'}, {'DeviceId': 254, 'DeviceName': '1设备254：'}, {'DeviceId': 255, 'DeviceName': '1设备255：'}, {'DeviceId': 256, 'DeviceName': '1设备256：'}, {'DeviceId': 257, 'DeviceName': '1设备257：'}, {'DeviceId': 258, 'DeviceName': '1设备258：'}, {'DeviceId': 259, 'DeviceName': '1设备259：'}, {'DeviceId': 260, 'DeviceName': '1设备260：'}, {'DeviceId': 261, 'DeviceName': '1设备261：'}, {'DeviceId': 262, 'DeviceName': '1设备262：'}, {'DeviceId': 263, 'DeviceName': '1设备263：'}, {'DeviceId': 264, 'DeviceName': '1设备264：'}, {'DeviceId': 265, 'DeviceName': '1设备265：'}, {'DeviceId': 266, 'DeviceName': '1设备266：'}, {'DeviceId': 267, 'DeviceName': '1设备267：'}, {'DeviceId': 268, 'DeviceName': '1设备268：'}, {'DeviceId': 269, 'DeviceName': '1设备269：'}, {'DeviceId': 270, 'DeviceName': '1设备270：'}, {'DeviceId': 271, 'DeviceName': '1设备271：'}, {'DeviceId': 272, 'DeviceName': '1设备272：'}, {'DeviceId': 273, 'DeviceName': '1设备273：'}, {'DeviceId': 274, 'DeviceName': '1设备274：'}, {'DeviceId': 275, 'DeviceName': '1设备275：'}, {'DeviceId': 276, 'DeviceName': '1设备276：'}, {'DeviceId': 277, 'DeviceName': '1设备277：'}, {'DeviceId': 278, 'DeviceName': '1设备278：'}, {'DeviceId': 279, 'DeviceName': '1设备279：'}, {'DeviceId': 280, 'DeviceName': '1设备280：'}, {'DeviceId': 281, 'DeviceName': '1设备281：'}, {'DeviceId': 282, 'DeviceName': '1设备282：'}, {'DeviceId': 283, 'DeviceName': '1设备283：'}, {'DeviceId': 284, 'DeviceName': '1设备284：'}, {'DeviceId': 285, 'DeviceName': '1设备285：'}, {'DeviceId': 286, 'DeviceName': '1设备286：'}, {'DeviceId': 287, 'DeviceName': '1设备287：'}, {'DeviceId': 288, 'DeviceName': '1设备288：'}, {'DeviceId': 289, 'DeviceName': '1设备289：'}, {'DeviceId': 290, 'DeviceName': '1设备290：'}, {'DeviceId': 291, 'DeviceName': '1设备291：'}, {'DeviceId': 292, 'DeviceName': '1设备292：'}, {'DeviceId': 293, 'DeviceName': '1设备293：'}, {'DeviceId': 294, 'DeviceName': '1设备294：'}, {'DeviceId': 295, 'DeviceName': '1设备295：'}, {'DeviceId': 296, 'DeviceName': '1设备296：'}, {'DeviceId': 297, 'DeviceName': '1设备297：'}, {'DeviceId': 298, 'DeviceName': '1设备298：'}, {'DeviceId': 299, 'DeviceName': '1设备299：'}, {'DeviceId': 300, 'DeviceName': '1设备300：'}]}}"
"passed","Tue Jan 12 18:30:54 CST 2021","Tue Jan 12 18:30:54 CST 2021","78","testcase","test_excel_case","TestExcel","","","test055获取告警统计弹窗数据","<font color='red'>请求URL: </font> http://192.168.40.234:5000/action.ashx?action=GetAlarmsByAlarmCount<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>DeviceName': '设备2', 'AlarmObjName': '模拟量点1', 'AlarmContent': '模拟量1 置数5成功'<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'ActionInfo': {'ErrorCode': 0, 'Success': True, 'ExceptionMsg': None, 'ActionName': '获取告警统计弹窗数据', 'ActionUser': None, 'ActionTime': '/Date(1610447454492+0800)/', 'LogType': 0, 'ActionDateTime': '/Date(1610447454492+0800)/', 'ActionModel': None, 'LogParams': None, 'FunctionPoint': None}, 'AlarmInfoByAlarmCount': [{'AlarmId': '892caec5-6b1c-44f1-a851-f6893d35ec62', 'DeviceName': '设备2', 'AlarmObjName': '模拟量点1', 'AlarmContent': '模拟量1 置数5成功', 'AlarmStatusName': '正在告警', 'AlarmTime': '/Date(1600072269000+0800)/', 'StrAlarmTime': '2020-09-14 16:31:09'}, {'AlarmId': '83353eef-760f-4b29-b9ef-8d37c5564129', 'DeviceName': '设备1', 'AlarmObjName': '开入量点2', 'AlarmContent': '开关量2 接地挂牌成功', 'AlarmStatusName': '正在告警', 'AlarmTime': '/Date(1600071574000+0800)/', 'StrAlarmTime': '2020-09-14 16:19:34'}, {'AlarmId': '6952064e-c767-4d87-9475-8b3f43686225', 'DeviceName': '设备1', 'AlarmObjName': '通讯状态', 'AlarmContent': '开关量1 危险挂牌成功', 'AlarmStatusName': '正在告警', 'AlarmTime': '/Date(1600071565000+0800)/', 'StrAlarmTime': '2020-09-14 16:19:25'}], 'total': 1, 'current': 1, 'Count': 3}}"
"passed","Tue Jan 12 18:30:40 CST 2021","Tue Jan 12 18:30:40 CST 2021","140","testcase","test_excel_case","TestExcel","","","test021数据导出，时间颗粒度为小时","<font color='red'>请求URL: </font> http://192.168.40.234:5000/action.ashx?action=ExportDeviceHistoryData<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>status': 'success'<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'status': 'success', 'msg': '/temp_file/20210112183040/设备历史数据报表.xls'}}"
"passed","Tue Jan 12 18:31:01 CST 2021","Tue Jan 12 18:31:01 CST 2021","47","testcase","test_excel_case","TestExcel","","","test117查询不存在的区域名称","<font color='red'>请求URL: </font> http://192.168.40.234:5000/admin/action.ashx?prefix=admin&action=AreaConfig_GetAreaDeviceInfo<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>AreaName': '测试1#', 'ParentID': 0, 'ParentName': '顶级节点', 'OrderNo': 1, 'AreaClass': '532_'<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'ActionInfo': {'Success': True, 'ExceptionMsg': '', 'ExtendContent': None, 'IsExistsDevice': False, 'ActionUser': '', 'LogType': 0, 'ActionDateTime': '/Date(1610447461715+0800)/', 'ActionModel': None, 'LogParams': None, 'FunctionPoint': None}, 'AreaDeviceInfoList': [{'Id': 1, 'AreaName': '测试1#', 'ParentID': 0, 'ParentName': '顶级节点', 'OrderNo': 1, 'AreaClass': '532_', 'DevInfo': None, 'TableNum': None}]}}"
"passed","Tue Jan 12 18:31:03 CST 2021","Tue Jan 12 18:31:03 CST 2021","109","testcase","test_excel_case","TestExcel","","","test138获取区域树结构信息","<font color='red'>请求URL: </font> http://192.168.40.234:5000/admin/action.ashx?prefix=admin&action=GetMonitorTree<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>{'id': 10, 'name': '变配电系统', 'open': True, 'pId': '0'}, {'id': 15, 'name': '暖通空调系统', 'open': True, 'pId': '0'}<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': [{'id': 10, 'name': '变配电系统', 'open': True, 'pId': '0'}, {'id': 15, 'name': '暖通空调系统', 'open': True, 'pId': '0'}, {'id': 11, 'name': 'A区变配电', 'open': False, 'pId': '10'}, {'id': 16, 'name': '1#', 'open': False, 'pId': '15'}, {'id': 12, 'name': 'B区变配电', 'open': False, 'pId': '10'}, {'id': 17, 'name': '2#', 'open': False, 'pId': '15'}]}"
"passed","Tue Jan 12 18:30:57 CST 2021","Tue Jan 12 18:30:57 CST 2021","47","testcase","test_excel_case","TestExcel","","","test091网关ip重复，新增失败","<font color='red'>请求URL: </font> http://192.168.40.234:5000/admin/action.ashx?prefix=admin&action=InsertGateway<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>Success': False, 'ExceptionMsg': '新增失败！出现重复的名称或IP地址'<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'Success': False, 'ExceptionMsg': '新增失败！出现重复的名称或IP地址', 'ExtendContent': None, 'IsExistsDevice': False, 'ActionUser': '', 'LogType': 0, 'ActionDateTime': '/Date(1610447457148+0800)/', 'ActionModel': None, 'LogParams': None, 'FunctionPoint': None}}"
"passed","Tue Jan 12 18:30:54 CST 2021","Tue Jan 12 18:30:54 CST 2021","63","testcase","test_excel_case","TestExcel","","","test060重复提交，新增失败","<font color='red'>请求URL: </font> http://192.168.40.234:5000/admin/action.ashx?prefix=admin&action=AddMonitorIndexFormula<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>IsSucess': False<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'IsSucess': False, 'TreeName': None, 'ExceptionMeg': ""系统检测到重复提交\r\n公式名称为'配电自动化(1)1设备1：越下限'公式是否有此类指标公式配置数据\r\n或者对象ID和指标是否重复\r\n""}}"
"passed","Tue Jan 12 18:30:51 CST 2021","Tue Jan 12 18:30:52 CST 2021","390","testcase","test_excel_case","TestExcel","","","test043无效数据的告警查询","<font color='red'>请求URL: </font> http://192.168.40.234:5000/action.ashx?action=GetAlarms<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>ExceptionMsg': '没有数据', 'ActionName': '获取告警'<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'ActionInfo': {'ErrorCode': 0, 'Success': False, 'ExceptionMsg': '没有数据', 'ActionName': '获取告警', 'ActionUser': None, 'ActionTime': '/Date(1610447452117+0800)/', 'LogType': 0, 'ActionDateTime': '/Date(1610447452117+0800)/', 'ActionModel': None, 'LogParams': None, 'FunctionPoint': None}, 'Alarms': None, 'total': 0, 'current': 0, 'Count': 0}}"
"passed","Tue Jan 12 18:31:01 CST 2021","Tue Jan 12 18:31:01 CST 2021","39","testcase","test_excel_case","TestExcel","","","test116区域名称精确查询","<font color='red'>请求URL: </font> http://192.168.40.234:5000/admin/action.ashx?prefix=admin&action=AreaConfig_GetAreaDeviceInfo<Br/><font color='red'>请求类型: </font>POST<Br/><font color='red'>期望结果: </font>AreaDeviceInfoList': []<Br/><font color='red'>实际结果: </font>{'code': 200, 'body': {'ActionInfo': {'Success': True, 'ExceptionMsg': '', 'ExtendContent': None, 'IsExistsDevice': False, 'ActionUser': '', 'LogType': 0, 'ActionDateTime': '/Date(1610447461668+0800)/', 'ActionModel': None, 'LogParams': None, 'FunctionPoint': None}, 'AreaDeviceInfoList': []}}"
